date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:52	2543/2543	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/js/json_parse.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/js/json_parse.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:52	5007/5007	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/js/jquery.ui.core.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/js/jquery.ui.core.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:53	7942/7942	---M-Z	200	added ('OK')	text/css	etag:%221f06-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/style.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/style.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:53	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%22442-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/default.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/default.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:54	4068/4068	---M-Z	200	added ('OK')	text/css	etag:%22fe4-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/main.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/main.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:54	59/59	---M--	200	added ('OK')	text/css	etag:%223b-5bda744340040%22	https://crsorgi.gov.in/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/jquery.ui.all.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:55	14845/14845	---M-Z	200	added ('OK')	text/css	etag:%2239fd-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:55	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/login_style.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/css/login_style.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:56	24752/24752	---M-Z	200	added ('OK')	application/javascript	etag:%2260b0-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/mm_menu.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/mm_menu.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:56	143880/143880	---M-Z	200	added ('OK')	application/javascript	etag:%2223208-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery-1.9.0.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/jquery-1.9.0.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:57	2543/2543	---M-Z	200	added ('OK')	application/javascript	etag:%229ef-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/json_parse.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/json_parse.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:58	5007/5007	---M-Z	200	added ('OK')	application/javascript	etag:%22138f-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery.ui.core.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/jquery.ui.core.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
